label,count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
a,7551,145625233,0,25.063177600,0.000000000,0.055000,-0.014000,1.029000,1.100000,-1.500000,1.000000
a,7552,145644461,19228,25.083331400,0.020153800,0.043000,-0.011000,1.025000,2.900000,-1.900000,0.700000
a,7553,145663750,38517,25.103415900,0.040238300,0.036000,-0.003000,1.026000,-0.200000,-2.400000,0.700000
a,7554,145683008,57775,25.121422100,0.058244500,0.047000,-0.013000,1.027000,-0.600000,-2.200000,0.500000
a,7555,145702235,77002,25.142238500,0.079060900,0.046000,-0.012000,1.027000,0.900000,-0.500000,-0.100000
a,7556,145721524,96291,25.160288900,0.097111300,0.039000,-0.007000,1.025000,0.800000,2.700000,-0.400000
a,7557,145740691,115458,25.179278300,0.116100700,0.032000,-0.009000,1.030000,0.900000,-0.200000,0.100000
a,7558,145759857,134624,25.204027300,0.140849700,0.037000,-0.012000,1.028000,1.100000,-3.300000,0.200000
a,7559,145779146,153913,25.217139400,0.153961800,0.033000,-0.010000,1.027000,3.900000,-1.800000,-0.400000
a,7560,145798343,173110,25.237311600,0.174134000,0.035000,-0.005000,1.026000,5.000000,-0.600000,-1.300000
a,7561,145817601,192368,25.256289300,0.193111700,0.040000,-0.006000,1.027000,3.900000,-0.600000,-1.200000
a,7562,145836798,211565,25.275287200,0.212109600,0.038000,-0.003000,1.026000,3.400000,-1.100000,0.400000
a,7563,145856087,230854,25.299363300,0.236185700,0.034000,0.001000,1.028000,-0.400000,-2.600000,-0.300000
a,7564,145875497,250264,25.314173900,0.250996300,0.033000,-0.004000,1.029000,-0.900000,-2.700000,0.500000
a,7565,145894481,269248,25.333185900,0.270008300,0.034000,-0.007000,1.029000,0.000000,-2.700000,0.000000
a,7566,145913769,288536,25.354297200,0.291119600,0.043000,-0.012000,1.025000,2.000000,-1.900000,-0.700000
a,7567,145933028,307795,25.371318200,0.308140600,0.038000,-0.005000,1.023000,2.700000,-1.600000,-1.200000
a,7568,145952225,326992,25.390274500,0.327096900,0.040000,-0.004000,1.026000,2.800000,-1.000000,-0.500000
a,7569,145971544,346311,25.410303100,0.347125500,0.036000,-0.005000,1.028000,4.300000,0.000000,-1.000000
a,7570,145990710,365477,25.429239000,0.366061400,0.032000,-0.002000,1.031000,3.400000,-1.500000,-1.700000
a,7571,146009877,384644,25.453804600,0.390627000,0.036000,-0.001000,1.027000,2.700000,-1.300000,-1.500000
a,7572,146029501,404268,25.468208500,0.405030900,0.032000,0.000000,1.026000,1.400000,0.900000,-1.300000
a,7573,146048332,423099,25.488499200,0.425321600,0.031000,0.002000,1.026000,0.700000,-2.600000,-1.100000
a,7574,146067499,442266,25.506175900,0.442998300,0.028000,0.001000,1.027000,1.000000,-2.800000,0.000000
a,7575,146086818,461585,25.525257300,0.462079700,0.029000,-0.003000,1.031000,2.400000,-1.200000,0.500000
a,7576,146106107,480874,25.548314200,0.485136600,0.044000,-0.005000,1.029000,3.700000,-0.100000,-1.500000
a,7577,146125273,500040,25.563231300,0.500053700,0.031000,0.001000,1.025000,5.200000,-1.100000,-1.800000
a,7578,146144562,519329,25.583311800,0.520134200,0.024000,0.007000,1.024000,4.400000,-1.300000,0.300000
a,7579,146163728,538495,25.602169400,0.538991800,0.025000,0.003000,1.029000,5.800000,0.600000,1.000000
a,7580,146183780,558547,25.622237900,0.559060300,0.037000,0.007000,1.032000,4.900000,-0.300000,0.300000
a,7581,146202275,577042,25.642347000,0.579169400,0.033000,0.009000,1.029000,2.100000,-1.800000,0.000000
a,7582,146221411,596178,25.659216500,0.596038900,0.030000,0.007000,1.025000,-0.700000,-1.700000,0.100000
a,7583,146240700,615467,25.679240200,0.616062600,0.029000,0.007000,1.025000,-1.000000,-0.800000,-0.400000
a,7584,146259897,634664,25.698079900,0.634902300,0.028000,0.008000,1.027000,0.000000,-1.900000,0.400000
a,7585,146279185,653952,25.717185100,0.654007500,0.028000,0.006000,1.029000,1.300000,-2.800000,1.100000
a,7586,146298352,673119,25.736869600,0.673692000,0.029000,0.002000,1.029000,2.800000,-1.800000,-0.100000
a,7587,146317519,692286,25.756120600,0.692943000,0.028000,0.006000,1.031000,3.400000,-1.400000,-0.200000
a,7588,146336807,711574,25.775177200,0.711999600,0.027000,0.007000,1.026000,0.700000,-2.100000,-1.400000
a,7589,146356004,730771,25.797851700,0.734674100,0.026000,0.010000,1.025000,-0.700000,-2.100000,-0.300000
a,7590,146375262,750029,25.813308000,0.750130400,0.022000,0.009000,1.027000,0.600000,-3.200000,0.900000
a,7591,146394521,769288,25.834504500,0.771326900,0.026000,0.009000,1.028000,0.700000,-1.900000,0.800000
a,7592,146413748,788515,25.852283000,0.789105400,0.035000,0.007000,1.028000,0.500000,-1.800000,0.200000
a,7593,146432976,807743,25.871131300,0.807953700,0.026000,0.007000,1.027000,0.200000,-1.900000,-0.100000
a,7594,146452264,827031,25.890309500,0.827131900,0.027000,0.010000,1.027000,-0.900000,-3.200000,1.000000
a,7595,146471400,846167,25.909232300,0.846054700,0.028000,0.008000,1.026000,-2.500000,-3.500000,0.400000
a,7596,146490597,865364,25.929092100,0.865914500,0.029000,0.006000,1.030000,-1.500000,-3.900000,1.500000
a,7597,146509886,884653,25.954128300,0.890950700,0.030000,0.004000,1.029000,-2.200000,-3.200000,1.000000
a,7598,146529205,903972,25.967177900,0.904000300,0.030000,0.002000,1.026000,-1.800000,-3.600000,0.300000
a,7599,146548372,923139,25.986735500,0.923557900,0.032000,0.002000,1.026000,0.200000,-1.700000,0.600000
a,7600,146567538,942305,26.006188000,0.943010400,0.031000,0.004000,1.026000,-1.500000,-0.100000,-0.200000
a,7601,146586827,961594,26.025188000,0.962010400,0.024000,0.003000,1.030000,-2.500000,-1.900000,-0.900000
a,7602,146605994,980761,26.049757100,0.986579500,0.030000,0.000000,1.027000,-0.900000,-3.200000,-0.900000
a,7603,146625160,999927,26.063421800,1.000244200,0.032000,0.000000,1.028000,0.300000,-2.300000,-0.500000
a,7604,146644479,1019246,26.082205900,1.019028300,0.026000,0.001000,1.029000,0.000000,-2.800000,-0.600000
a,7605,146663768,1038535,26.103797900,1.040620300,0.026000,0.001000,1.027000,-0.900000,-3.200000,-0.600000
a,7606,146682935,1057702,26.121382600,1.058205000,0.031000,0.000000,1.029000,-0.400000,-2.900000,-0.200000
a,7607,146702162,1076929,26.140150900,1.076973300,0.024000,0.001000,1.027000,-0.500000,-3.100000,0.200000
a,7608,146721390,1096157,26.159307600,1.096130000,0.030000,0.000000,1.027000,-0.900000,-3.600000,0.000000
a,7609,146740617,1115384,26.179301400,1.116123800,0.032000,0.000000,1.029000,-0.300000,-3.200000,0.300000
a,7610,146759906,1134673,26.198425100,1.135247500,0.033000,-0.002000,1.027000,-0.100000,-2.100000,-0.300000
