label,count,t_us_mcu,t_rel_us_mcu,t_host_s,t_rel_host_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
f,6792,131029745,0,10.470689500,0.000000000,0.128000,0.243000,-0.924000,-0.200000,-2.800000,1.100000
f,6793,131048942,19197,10.489762500,0.019073000,0.125000,0.244000,-0.923000,-1.400000,-6.600000,-0.700000
f,6794,131068262,38517,10.508740000,0.038050500,0.096000,0.232000,-0.930000,-1.300000,-8.600000,0.200000
f,6795,131087398,57653,10.528748900,0.058059400,0.128000,0.257000,-0.926000,-0.100000,-2.500000,1.500000
f,6796,131106656,76911,10.548098100,0.077408600,0.123000,0.243000,-0.930000,-0.200000,2.200000,2.600000
f,6797,131125883,96138,10.566878400,0.096188900,0.134000,0.247000,-0.908000,0.500000,2.400000,2.200000
f,6798,131145172,115427,10.585756500,0.115067000,0.147000,0.241000,-0.922000,-0.100000,0.700000,0.500000
f,6799,131164339,134594,10.605804600,0.135115100,0.134000,0.244000,-0.923000,0.000000,-3.200000,-0.700000
f,6800,131183505,153760,10.624857800,0.154168300,0.127000,0.245000,-0.927000,-1.800000,-5.800000,-2.700000
f,6801,131202794,173049,10.643865000,0.173175500,0.133000,0.246000,-0.929000,-1.300000,-3.100000,-3.300000
f,6802,131222021,192276,10.662724200,0.192034700,0.117000,0.246000,-0.928000,-1.100000,-0.400000,0.600000
f,6803,131241279,211534,10.681838900,0.211149400,0.124000,0.248000,-0.923000,-0.300000,0.600000,3.200000
f,6804,131260568,230823,10.702657200,0.231967700,0.133000,0.247000,-0.921000,-0.300000,-1.200000,1.400000
f,6805,131279735,249990,10.720797400,0.250107900,0.133000,0.247000,-0.920000,0.100000,-4.300000,0.000000
f,6806,131299451,269706,10.740774800,0.270085300,0.119000,0.247000,-0.927000,-1.600000,-6.500000,-0.600000
f,6807,131318220,288475,10.760713900,0.290024400,0.122000,0.246000,-0.926000,-1.400000,-3.300000,0.000000
f,6808,131337387,307642,10.778829700,0.308140200,0.131000,0.249000,-0.927000,0.800000,0.900000,0.800000
f,6809,131356584,326839,10.798556400,0.327866900,0.135000,0.249000,-0.925000,0.300000,1.300000,0.200000
f,6810,131375873,346128,10.816862700,0.346173200,0.135000,0.249000,-0.921000,-0.900000,-1.800000,-1.100000
f,6811,131395192,365447,10.835924100,0.365234600,0.132000,0.248000,-0.921000,-1.100000,-4.700000,-2.900000
f,6812,131414358,384613,10.858730500,0.388041000,0.126000,0.250000,-0.926000,-1.400000,-5.400000,-2.900000
f,6813,131433525,403780,10.874880400,0.404190900,0.128000,0.252000,-0.927000,-0.400000,-1.800000,-2.600000
f,6814,131452814,423069,10.894090000,0.423400500,0.125000,0.253000,-0.925000,-0.300000,-0.100000,0.600000
f,6815,131472011,442266,10.912700400,0.442010900,0.132000,0.252000,-0.921000,1.300000,3.400000,4.100000
f,6816,131491299,461554,10.931787800,0.461098300,0.147000,0.252000,-0.919000,0.200000,3.000000,2.900000
f,6817,131510466,480721,10.955809300,0.485119800,0.144000,0.247000,-0.922000,-0.300000,2.800000,2.700000
f,6818,131529755,500010,10.970872500,0.500183000,0.134000,0.256000,-0.923000,0.200000,2.300000,1.800000
f,6819,131548921,519176,10.989811300,0.519121800,0.143000,0.232000,-0.930000,-1.500000,2.500000,1.000000
f,6820,131568149,538404,11.008762500,0.538073000,0.147000,0.251000,-0.922000,-1.300000,5.200000,4.000000
f,6821,131587376,557631,11.027878000,0.557188500,0.169000,0.252000,-0.919000,-0.800000,6.200000,11.500000
f,6822,131606604,576859,11.049108100,0.578418600,0.194000,0.254000,-0.908000,-3.500000,-4.500000,14.400000
f,6823,131625893,596148,11.066915700,0.596226200,0.174000,0.226000,-0.928000,-3.500000,-3.000000,16.600000
f,6824,131645059,615314,11.085867800,0.615178300,0.146000,0.254000,-0.934000,-1.100000,13.100000,24.800000
f,6825,131664317,634572,11.104868400,0.634178900,0.235000,0.260000,-0.929000,-1.000000,45.100000,42.600000
f,6826,131683545,653800,11.124721200,0.654031700,0.310000,0.270000,-0.917000,1.500000,87.900000,69.700000
f,6827,131702833,673088,11.144898400,0.674208900,0.344000,0.216000,-0.869000,15.100000,126.800000,88.300000
f,6828,131722000,692255,11.162718600,0.692029100,0.393000,0.174000,-0.877000,6.400000,128.800000,100.300000
f,6829,131741167,711422,11.181911800,0.711222300,0.414000,0.147000,-0.890000,2.600000,140.200000,119.200000
f,6830,131760486,730741,11.206481400,0.735791900,0.441000,0.213000,-1.030000,4.700000,139.800000,135.000000
f,6831,131779683,749938,11.220742100,0.750052600,0.405000,0.299000,-1.173000,8.100000,97.500000,132.900000
f,6832,131798941,769196,11.239819700,0.769130200,0.371000,0.397000,-1.212000,28.600000,36.200000,107.500000
f,6833,131818169,788424,11.259910900,0.789221400,0.368000,0.378000,-1.153000,56.300000,-29.500000,54.100000
f,6834,131837396,807651,11.277871500,0.807182000,0.419000,0.239000,-1.026000,92.500000,-76.000000,14.600000
f,6835,131856563,826818,11.297890100,0.827200600,0.447000,0.106000,-0.880000,115.000000,-65.900000,15.400000
f,6836,131875912,846167,11.316983800,0.846294300,0.412000,0.011000,-0.770000,107.900000,-47.100000,33.900000
f,6837,131895079,865334,11.335839100,0.865149600,0.337000,0.023000,-0.737000,95.100000,-27.700000,41.500000
